ime,naslov,drzava,standard_rating,rapid_rating,blitz_rating,leto_rojstva
"Yilmaz, Mustafa",GM ,TUR,2626,2502,2518,1992
"Chigaev, Maksim",GM ,RUS,2626,2593,2610,1996
"Fridman, Daniel",GM ,GER,2626,2542,2663,1976
"Kozul, Zdenko",GM ,CRO,2625,2526,2600,1966
"Lupulescu, Constantin",GM ,ROU,2624,2628,2549,1984
"Piket, Jeroen",GM ,NED,2624,,,1969
"Martirosyan, Haik M.",GM ,ARM,2624,2377,2656,2000
"Lenderman, Aleksandr",GM ,USA,2624,2646,2651,1989
"Moranda, Wojciech",GM ,POL,2623,2575,2613,1988
"Amonatov, Farrukh",GM ,TJK,2622,2671,2636,1978
"Naroditsky, Daniel",GM ,USA,2622,2639,2608,1995
"Onyshchuk, Volodymyr",GM ,UKR,2622,2687,2603,1991
"Hovhannisyan, Robert",GM ,ARM,2622,2613,2669,1991
"L'Ami, Erwin",GM ,NED,2622,2647,2676,1985
"Kollars, Dmitrij",GM ,GER,2622,2455,2584,1999
"Idani, Pouya",GM ,IRI,2621,2509,2610,1995
"Yakubboev, Nodirbek",GM ,UZB,2621,2425,2464,2002
"Zherebukh, Yaroslav",GM ,USA,2621,2620,2520,1993
Gukesh D,GM ,IND,2621,2050,2376,2006
"Sethuraman, S.P.",GM ,IND,2620,2556,2477,1993
"Seirawan, Yasser",GM ,USA,2620,2647,2523,1960
"Shtembuliak, Evgeny",GM ,UKR,2620,2444,2504,1999
"Ivic, Velimir",GM ,SRB,2620,2357,2509,2002
"Zhao, Jun",GM ,CHN,2619,2638,2547,1986
"Bok, Benjamin",GM ,NED,2619,2608,2658,1995
"Huschenbeth, Niclas",GM ,GER,2619,2572,2605,1992
"Mastrovasilis, Dimitrios",GM ,GRE,2619,2534,2577,1983
"Bartel, Mateusz",GM ,POL,2619,2543,2560,1985
"Movsesian, Sergei",GM ,ARM,2618,2667,2632,1978
"Nielsen, Peter Heine",GM ,DEN,2618,2669,2546,1973
"Karpov, Anatoly",GM ,RUS,2617,2583,2627,1951
"Drozdovskij, Yuri",GM ,UKR,2616,,2660,1984
